name,TotalExposedSasa,TotalBSA,InterfaceHydrophobicSasa,InterfacePolarSasa,InteractionScore,FaAtrInteraction,FaRepInteraction,FaSolInteraction,FaElecInteraction,HBondBbScInteraction,HBondScInteraction,GenBonded,HBInterface,InterfaceUnsat,SideFlexAlpha,SideFlexBeta,SideFlexOther,BackFlexAlpha,BackFlexBeta,BackFlexOther,PiPi,TStacking,CationPi,SaltBridge,TotalElec,TotalHBond,TotalHphobics,6.6,6.7,6.8,6.9,6.15,6.16,6.17,6.35,6.53,7.6,7.7,7.8,7.9,7.15,7.16,7.17,7.35,7.53,8.6,8.7,8.8,8.9,8.15,8.16,8.17,8.35,8.53,16.6,16.7,16.8,16.9,16.15,16.16,16.17,16.35,16.53,FCsp3,NumHAcceptors,NumHDonors,MolLogP,TPSA,ID,Class
actives_minimizations/mini_1a28_STR_A_active.pdb,-0.18,740.5,0.88,0.12,-37.75,-39.66,11.61,-2.58,-1.17,0,0,1.79,0,6,466,0,54,36,0,0,0,0,0,0,-18207.95,0,35,5079,1108,1140,133,0,0,0,0,470,99,106,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,2,0,4.72,34.14,1a28_STR_A,1
decoys_minimizations/mini_1a28_STR_A_decoy_26.pdb,-0.2,630.3,0.88,0.12,-26.89,-27.3,5.76,-0.65,-1.49,0,0,1.49,1,8,219,30,4,25,0,0,0,0,0,0,-27621.54,1,22,3217,721,720,83,258,59,58,6,721,158,166,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,55,57,7,0,0,0,0,0,4,2,3.67,66.49,1a28_STR_A,0
decoys_minimizations/mini_1a28_STR_A_decoy_32.pdb,-0.2,618.7,0.87,0.13,-25.77,-28.27,3.87,0.62,0.14,0,0,2.2,1,5,215,0,36,22,0,1,0,0,0,0,37977.83,2,20,3206,707,718,81,494,109,108,13,0,0,0,0,0,0,0,0,0,0,0,0,255,56,61,6,244,58,56,7,0,0,0,0,0,0,0,0,0,3,1,4.2,38.91,1a28_STR_A,0
decoys_minimizations/mini_1a28_STR_A_decoy_7.pdb,-0.19,554.2,0.86,0.14,-24.3,-26.51,4.36,0.7,-1.23,0,0,1.34,1,7,244,0,28,34,0,0,0,0,0,0,89849.14,2,25,3183,707,703,85,248,62,59,7,716,156,162,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2.91,66.49,1a28_STR_A,0
actives_minimizations/mini_1a6v_NPC_H_active.pdb,0,565,0.57,0.43,-22.57,-25.42,4.86,5.55,-3.28,0,-2.2,52.41,2,6,0,169,132,0,0,2,0,0,0,0,-212187.41,5,34,1804,457,468,0,350,92,86,1,846,210,213,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,6,2,0.27,132.6,1a6v_NPC_H,1
decoys_minimizations/mini_1a6v_NPC_H_decoy_32.pdb,-0.04,594.3,0.61,0.39,-17.85,-23.52,6.09,6.23,-1,0,0,2.56,0,5,0,130,130,0,0,8,0,0,0,0,86720.97,1,26,1439,370,368,0,861,225,209,1,457,97,126,0,0,0,0,0,143,28,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,10,3,-1.38,190.08,1a6v_NPC_H,0
decoys_minimizations/mini_1a6v_NPC_H_decoy_33.pdb,-0.05,638.7,0.59,0.41,-17.81,-26.11,6,8.82,-1.52,0,-1.09,3.28,1,10,0,146,115,0,0,16,0,0,0,0,-175552.63,3,30,1779,461,460,0,875,231,212,1,414,92,117,0,0,0,0,0,60,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,9,2,-0.86,162.01,1a6v_NPC_H,0
decoys_minimizations/mini_1a6v_NPC_H_decoy_4.pdb,-0.04,533,0.56,0.44,-8.97,-18.72,2.93,8.04,0.6,0,0,9.3,0,4,0,74,72,0,0,2,0,0,0,0,119849.53,0,18,1587,396,395,0,460,123,121,0,421,98,111,0,0,0,0,0,0,0,0,0,334,88,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,7,0,1.76,114.15,1a6v_NPC_H,0
actives_minimizations/mini_1a6w_NIP_H_active.pdb,-0.11,569.9,0.65,0.35,-31.43,-27.53,5.6,6.97,-10.38,0,-4.33,6.33,4,2,0,147,121,0,0,7,0,0,0,0,-562276.84,6,34,1620,427,417,0,359,94,93,1,794,204,192,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,30,31,0,0.3,4,1,0.95,95.3,1a6w_NIP_H,1
decoys_minimizations/mini_1a6w_NIP_H_decoy_11.pdb,-0.1,638.7,0.57,0.43,-22.42,-28.5,8.3,4.77,-2.85,0,-0.97,14.66,1,4,0,212,101,0,0,5,0,0,0,0,-118550.43,3,37,2593,663,655,2,339,83,83,0,621,158,152,0,0,0,0,0,0,0,0,0,157,42,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,5,0,3.65,79.59,1a6w_NIP_H,0
