name,TotalExposedSasa,TotalBSA,InterfaceHydrophobicSasa,InterfacePolarSasa,InteractionScore,FaAtrInteraction,FaRepInteraction,FaSolInteraction,FaElecInteraction,HBondBbScInteraction,HBondScInteraction,GenBonded,HBInterface,InterfaceUnsat,SideFlexAlpha,SideFlexBeta,SideFlexOther,BackFlexAlpha,BackFlexBeta,BackFlexOther,PiPi,TStacking,CationPi,SaltBridge,TotalElec,TotalHBond,TotalHphobics,6.6,6.7,6.8,6.9,6.15,6.16,6.17,6.35,6.53,7.6,7.7,7.8,7.9,7.15,7.16,7.17,7.35,7.53,8.6,8.7,8.8,8.9,8.15,8.16,8.17,8.35,8.53,16.6,16.7,16.8,16.9,16.15,16.16,16.17,16.35,16.53,FCsp3,NumHAcceptors,NumHDonors,MolLogP,TPSA,ID,Class
actives_minimizations/mini_1a28_STR_A_active.pdb,-0.18,733.8,0.88,0.12,-38.35,-39.76,11.9,-2.51,-1.92,0,0,1.77,0,6,468,0,54,36,0,1,0,0,0,0,-30705.07,0,34,5073,1111,1140,133,0,0,0,0,471,99,106,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,2,0,4.72,34.14,1a28_STR_A,1
decoys_minimizations/mini_1a28_STR_A_decoy_26.pdb,-0.2,633.8,0.89,0.11,-27.33,-26.94,5.36,-0.33,-2.43,0,0,0.68,1,4,202,0,33,26,0,0,0,0,0,0,-75197.12,1,22,3198,712,705,82,256,56,57,6,720,156,166,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,57,58,7,0,0,0,0,0,4,2,3.67,66.49,1a28_STR_A,0
decoys_minimizations/mini_1a28_STR_A_decoy_32.pdb,-0.21,614.4,0.87,0.13,-29.29,-27.36,4.7,-0.62,-1.78,0,-1.76,2.09,2,2,232,0,24,23,0,0,0,0,0,0,-6787.36,3,19,3172,703,710,83,476,109,104,13,0,0,0,0,0,0,0,0,0,0,0,0,253,57,58,6,247,55,55,7,0,0,0,0,0,0,0,0,0,3,1,4.2,38.91,1a28_STR_A,0
decoys_minimizations/mini_1a28_STR_A_decoy_7.pdb,-0.21,580,0.86,0.14,-25.61,-26.78,4.6,0.8,-2.26,0,0,0.52,1,7,243,25,0,36,0,0,0,0,0,0,-6818.37,1,25,3180,706,701,85,249,62,56,7,712,157,169,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2.91,66.49,1a28_STR_A,0
actives_minimizations/mini_1a6v_NPC_H_active.pdb,-0.02,584.9,0.56,0.44,-24.89,-24.96,4.54,5.59,-4.76,0,-3.62,52.4,4,2,0,168,127,0,0,2,0,0,0,0,-137270.86,6,35,1819,464,466,0,349,90,87,1,848,209,214,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,6,2,0.27,132.6,1a6v_NPC_H,1
decoys_minimizations/mini_1a6v_NPC_H_decoy_32.pdb,-0.05,607.2,0.61,0.39,-20.25,-28.47,6.5,10.89,-4.27,0,-1.89,8.42,2,9,0,170,146,0,0,13,0,0,0,0,-81721.95,3,28,1464,376,377,0,888,232,220,1,505,108,140,0,0,0,0,0,149,34,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,10,3,-1.38,190.08,1a6v_NPC_H,0
decoys_minimizations/mini_1a6v_NPC_H_decoy_33.pdb,-0.01,567.4,0.52,0.48,-16.24,-22.74,3.73,9.64,-3.49,0,-2.62,8.63,2,11,0,169,94,0,0,7,0,0,0,0,-162914.37,4,27,1773,460,461,0,880,230,211,1,393,82,119,0,0,0,0,0,53,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,9,2,-0.86,162.01,1a6v_NPC_H,0
decoys_minimizations/mini_1a6v_NPC_H_decoy_4.pdb,-0.05,526.6,0.55,0.45,-14.3,-21.61,3.4,10.36,-4.18,0,-2.25,8.95,2,5,0,80,98,0,0,6,0,0,0,0,89678.74,2,18,1672,421,434,0,483,123,126,0,475,109,122,0,0,0,0,0,0,0,0,0,339,88,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,7,0,1.76,114.15,1a6v_NPC_H,0
actives_minimizations/mini_1a6w_NIP_H_active.pdb,-0.1,567.6,0.66,0.34,-30.88,-27.41,5.59,5.66,-8.98,0,-3.88,6.31,4,5,0,151,121,0,0,7,0,0,0,0,-539813.6,6,35,1634,429,421,0,362,94,94,1,793,204,193,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,31,31,0,0.3,4,1,0.95,95.3,1a6w_NIP_H,1
decoys_minimizations/mini_1a6w_NIP_H_decoy_11.pdb,-0.11,656.7,0.61,0.39,-20.21,-27.1,7.95,4.38,-2.34,0,0,9.43,0,7,0,193,102,0,0,5,0,0,0,0,69424.99,2,32,2578,661,650,2,338,82,85,0,614,155,149,0,0,0,0,0,0,0,0,0,158,42,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,5,0,3.65,79.59,1a6w_NIP_H,0
