name,TotalExposedSasa,TotalBSA,InterfaceHydrophobicSasa,InterfacePolarSasa,InteractionScore,FaAtrInteraction,FaRepInteraction,FaSolInteraction,FaElecInteraction,HBondBbScInteraction,HBondScInteraction,GenBonded,HBInterface,InterfaceUnsat,SideFlexAlpha,SideFlexBeta,SideFlexOther,BackFlexAlpha,BackFlexBeta,BackFlexOther,PiPi,TStacking,CationPi,SaltBridge,TotalElec,TotalHBond,TotalHphobics,6.6,6.7,6.8,6.9,6.15,6.16,6.17,6.35,6.53,7.6,7.7,7.8,7.9,7.15,7.16,7.17,7.35,7.53,8.6,8.7,8.8,8.9,8.15,8.16,8.17,8.35,8.53,16.6,16.7,16.8,16.9,16.15,16.16,16.17,16.35,16.53,FCsp3,NumHAcceptors,NumHDonors,MolLogP,TPSA,ID,Class
actives_minimizations/mini_1a28_STR_A_active.pdb,-0.18,740.5,0.88,0.12,-37.75,-39.66,11.61,-2.58,-1.17,0.0,0.0,1.79,0.0,6.0,466,0,54,36,0,0,0,0,0,0,-18207.95,0,35,5079,1108,1140,133,0,0,0,0,470,99,106,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,2,0,4.72,34.14,1a28_STR_A,1
decoys_minimizations/mini_1a28_STR_A_decoy_14.pdb,-0.18,634.6,0.86,0.14,-31.93,-29.89,6.51,-5.02,-0.36,0.0,0.0,5.74,0.0,4.0,300,0,50,22,0,3,0,0,0,0,-24142.74,0,22,3946,878,890,100,0,0,0,0,236,50,53,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,1,0,4.17,17.07,1a28_STR_A,0
decoys_minimizations/mini_1a28_STR_A_decoy_54.pdb,-0.2,793.0,0.85,0.15,-36.5,-39.72,12.55,-1.77,-0.85,0.0,0.0,11.45,1.0,5.0,390,0,57,56,0,0,0,0,0,0,16938.09,1,38,4895,1061,1096,132,0,0,0,0,420,88,105,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,2,1,4.96,29.46,1a28_STR_A,0
decoys_minimizations/mini_1a28_STR_A_decoy_58.pdb,-0.2,649.2,0.88,0.12,-34.12,-32.59,8.05,-5.42,-0.16,0.0,0.0,7.7,0.0,1.0,326,0,48,35,0,5,0,0,0,0,55999.58,0,22,3912,846,864,96,0,0,0,0,252,54,54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,4.19,9.23,1a28_STR_A,0
actives_minimizations/mini_1a6v_NPC_H_active.pdb,0.0,565.0,0.57,0.43,-22.57,-25.42,4.86,5.55,-3.28,0.0,-2.2,52.41,2.0,6.0,0,169,132,0,0,2,0,0,0,0,-212187.41,5,34,1804,457,468,0,350,92,86,1,846,210,213,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,6,2,0.27,132.6,1a6v_NPC_H,1
decoys_minimizations/mini_1a6v_NPC_H_decoy_13.pdb,-0.13,465.0,0.72,0.28,-14.35,-19.05,5.49,1.78,1.26,0.0,-1.66,-0.63,2.0,3.0,0,180,42,0,0,0,0,0,0,1,-22736.65,3,19,1355,358,328,1,287,77,69,0,436,110,103,2,0,0,0,0,0,0,0,0,0,0,0,0,169,39,43,0,0,0,0,0,0,0,0,0,0.25,3,2,1.04,64.39,1a6v_NPC_H,0
decoys_minimizations/mini_1a6v_NPC_H_decoy_73.pdb,-0.06,660.0,0.56,0.44,-21.12,-27.36,5.51,6.11,-1.37,0.0,-2.3,3.5,2.0,7.0,0,195,74,0,0,4,0,0,0,0,1597.19,2,19,1460,378,353,1,303,78,72,0,445,106,113,0,0,0,0,0,516,125,135,0,0,0,0,0,167,42,46,0,0,0,0,0,0,0,0,0,0.4,5,2,3.39,70.92,1a6v_NPC_H,0
decoys_minimizations/mini_1a6v_NPC_H_decoy_76.pdb,-0.05,611.2,0.57,0.43,-19.96,-26.23,6.75,6.16,-1.14,0.0,-1.57,6.27,3.0,9.0,0,188,129,0,0,2,0,0,0,0,-98474.15,2,42,1785,463,454,0,387,100,97,0,494,129,130,1,0,0,0,0,340,79,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,4,3,2.24,98.57,1a6v_NPC_H,0
actives_minimizations/mini_1a6w_NIP_H_active.pdb,-0.11,569.9,0.65,0.35,-31.43,-27.53,5.6,6.97,-10.38,0.0,-4.33,6.33,4.0,2.0,0,147,121,0,0,7,0,0,0,0,-562276.84,6,34,1620,427,417,0,359,94,93,1,794,204,192,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,30,31,0,0.3,4,1,0.95,95.3,1a6w_NIP_H,1
decoys_minimizations/mini_1a6w_NIP_H_decoy_10.pdb,-0.09,467.8,0.62,0.38,-16.12,-19.01,5.59,0.24,-0.37,0.0,0.0,2.87,0.0,6.0,0,158,39,0,0,0,0,0,0,0,-4446.12,1,15,1000,260,250,1,241,57,64,0,486,129,125,0,177,48,47,0,270,70,67,0,0,0,0,0,117,34,30,0,0,0,0,0,0,0,0,0,0.67,5,1,1.79,73.91,1a6w_NIP_H,0
decoys_minimizations/mini_1a6w_NIP_H_decoy_39.pdb,-0.04,496.4,0.6,0.4,-18.01,-19.74,4.27,5.87,-3.01,-2.02,-2.26,2.7,3.0,6.0,0,135,68,0,1,13,0,0,1,0,-63863.72,4,7,1023,262,249,0,295,75,75,0,545,131,138,0,121,32,28,0,290,77,77,0,0,0,0,0,137,36,39,0,0,0,0,0,0,0,0,0,0.86,6,3,0.13,89.87,1a6w_NIP_H,0
decoys_minimizations/mini_1a6w_NIP_H_decoy_45.pdb,-0.14,497.8,0.78,0.22,-13.01,-22.24,7.94,5.67,-0.91,0.0,-1.29,4.59,1.0,5.0,0,193,57,0,0,1,0,0,0,0,70234.9,2,15,1216,321,297,1,315,84,74,0,391,97,96,1,194,53,45,0,360,91,88,0,0,0,0,0,127,32,30,0,0,0,0,0,0,0,0,0,0.71,3,1,2.8,63.4,1a6w_NIP_H,0
actives_minimizations/mini_1a9u_SB2_A_active.pdb,-0.13,750.2,0.67,0.33,-31.34,-33.55,8.0,4.37,-1.92,-2.24,-1.6,3.71,2.0,0.0,17,248,108,0,43,7,0,0,0,0,-87401.99,2,47,3250,842,901,28,462,127,135,6,81,27,32,0,224,46,48,1,0,0,0,0,85,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,3,1,4.68,58.64,1a9u_SB2_A,1
decoys_minimizations/mini_1a9u_SB2_A_decoy_49.pdb,-0.1,626.3,0.67,0.33,-16.32,-21.12,4.35,4.77,-0.23,0.0,0.0,16.61,0.0,3.0,22,128,54,0,4,0,0,0,0,1,-22462.44,0,18,1679,448,488,11,719,182,190,7,317,96,105,3,147,36,42,2,182,44,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,7,0,2.18,75.85,1a9u_SB2_A,0
decoys_minimizations/mini_1a9u_SB2_A_decoy_51.pdb,-0.07,630.4,0.67,0.33,-16.08,-20.54,4.42,0.73,0.42,0.0,0.0,10.67,0.0,6.0,0,168,82,0,8,8,0,0,0,0,48997.61,2,19,1760,480,542,17,446,112,131,6,494,133,148,6,186,50,49,1,248,69,81,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,7,2,2.37,83.39,1a9u_SB2_A,0
decoys_minimizations/mini_1a9u_SB2_A_decoy_94.pdb,-0.03,531.2,0.58,0.42,-10.86,-13.23,1.75,3.81,-1.09,0.0,-1.71,38.21,1.0,4.0,0,132,23,0,2,10,0,0,0,0,-63351.89,1,6,1830,506,580,23,481,120,134,6,601,173,199,8,83,28,30,1,107,36,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,8,0,3.0,81.95,1a9u_SB2_A,0
actives_minimizations/mini_1afe_ALZ_H_active.pdb,-0.17,845.0,0.54,0.46,-32.64,-34.03,7.11,11.21,-7.52,-5.43,0.0,6.16,4.0,3.0,0,1,311,0,0,87,0,0,0,3,-282239.72,4,29,2600,678,784,46,651,171,210,16,424,109,127,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,4,3,0.43,98.31,1afe_ALZ_H,1
decoys_minimizations/mini_1afe_ALZ_H_decoy_27.pdb,-0.09,599.7,0.58,0.42,-11.42,-19.33,5.0,7.37,-1.36,0.0,-1.6,31.32,1.0,4.0,0,0,212,0,0,12,0,0,0,0,-58361.87,1,15,1827,474,540,35,439,115,137,13,626,163,190,16,141,36,44,5,142,37,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,5,3,3.08,93.11,1afe_ALZ_H,0
decoys_minimizations/mini_1afe_ALZ_H_decoy_28.pdb,-0.09,694.3,0.54,0.46,-8.1,-20.6,11.87,5.14,1.03,0.0,0.0,33.43,0.0,8.0,0,0,199,0,0,25,0,0,0,0,-31914.73,0,17,1893,492,538,39,328,87,86,4,632,165,180,8,123,28,37,2,163,43,55,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,6,1,1.42,101.74,1afe_ALZ_H,0
decoys_minimizations/mini_1afe_ALZ_H_decoy_60.pdb,-0.13,694.9,0.7,0.3,-12.55,-20.24,3.88,5.48,0.23,0.0,0.0,15.19,0.0,8.0,0,0,205,0,0,34,0,0,0,0,70049.53,0,14,1870,495,571,47,403,111,125,9,569,149,170,12,130,33,35,1,133,41,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,4,2,1.33,96.86,1afe_ALZ_H,0
