name,TotalExposedSasa,TotalBSA,InterfaceHydrophobicSasa,InterfacePolarSasa,InteractionScore,FaAtrInteraction,FaRepInteraction,FaSolInteraction,FaElecInteraction,HBondBbScInteraction,HBondScInteraction,GenBonded,HBInterface,InterfaceUnsat,SideFlexAlpha,SideFlexBeta,SideFlexOther,BackFlexAlpha,BackFlexBeta,BackFlexOther,PiPi,TStacking,CationPi,SaltBridge,TotalElec,TotalHBond,TotalHphobics,6.6,6.7,6.8,6.9,6.15,6.16,6.17,6.35,6.53,7.6,7.7,7.8,7.9,7.15,7.16,7.17,7.35,7.53,8.6,8.7,8.8,8.9,8.15,8.16,8.17,8.35,8.53,16.6,16.7,16.8,16.9,16.15,16.16,16.17,16.35,16.53,FCsp3,NumHAcceptors,NumHDonors,MolLogP,TPSA,ID,Class
actives_minimizations/mini_1a28_STR_A_active.pdb,-0.18,733.8,0.88,0.12,-38.35,-39.76,11.9,-2.51,-1.92,0.0,0.0,1.77,0.0,6.0,468,0,54,36,0,1,0,0,0,0,-30705.07,0,34,5073,1111,1140,133,0,0,0,0,471,99,106,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,2,0,4.72,34.14,1a28_STR_A,1
decoys_minimizations/mini_1a28_STR_A_decoy_14.pdb,-0.19,641.2,0.88,0.12,-31.62,-29.45,6.43,-4.97,-0.47,0.0,0.0,5.75,0.0,4.0,301,0,50,23,0,3,0,0,0,0,-23250.16,0,21,3938,877,887,100,0,0,0,0,238,50,53,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,1,0,4.17,17.07,1a28_STR_A,0
decoys_minimizations/mini_1a28_STR_A_decoy_54.pdb,-0.2,790.6,0.86,0.14,-38.33,-40.87,12.77,-1.7,-1.88,0.0,0.0,11.93,1.0,5.0,398,0,57,56,0,0,0,0,0,0,-89553.02,1,40,4905,1061,1105,132,0,0,0,0,428,88,104,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,2,1,4.96,29.46,1a28_STR_A,0
decoys_minimizations/mini_1a28_STR_A_decoy_58.pdb,-0.19,641.7,0.88,0.12,-34.29,-32.56,8.08,-5.48,-0.32,0.0,0.0,7.68,0.0,2.0,325,0,48,36,0,5,0,0,0,0,66022.62,0,22,3904,848,861,96,0,0,0,0,248,54,54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,4.19,9.23,1a28_STR_A,0
actives_minimizations/mini_1a6v_NPC_H_active.pdb,-0.02,584.9,0.56,0.44,-24.89,-24.96,4.54,5.59,-4.76,0.0,-3.62,52.4,4.0,2.0,0,168,127,0,0,2,0,0,0,0,-137270.86,6,35,1819,464,466,0,349,90,87,1,848,209,214,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,6,2,0.27,132.6,1a6v_NPC_H,1
decoys_minimizations/mini_1a6v_NPC_H_decoy_13.pdb,-0.13,441.0,0.67,0.33,-14.21,-17.65,4.36,2.35,-0.04,0.0,-0.92,-0.66,1.0,5.0,0,174,40,0,0,0,0,0,0,2,-125586.0,2,20,1312,346,316,1,278,73,67,0,420,108,102,2,0,0,0,0,0,0,0,0,0,0,0,0,162,38,43,0,0,0,0,0,0,0,0,0,0.25,3,2,1.04,64.39,1a6v_NPC_H,0
decoys_minimizations/mini_1a6v_NPC_H_decoy_73.pdb,-0.05,642.0,0.57,0.43,-18.97,-26.29,5.19,5.48,0.0,0.0,-2.2,3.59,2.0,4.0,0,176,72,0,0,4,0,0,0,0,-36922.95,2,19,1427,368,350,0,296,74,72,0,448,108,114,0,0,0,0,0,507,125,136,0,0,0,0,0,175,43,46,0,0,0,0,0,0,0,0,0,0.4,5,2,3.39,70.92,1a6v_NPC_H,0
decoys_minimizations/mini_1a6v_NPC_H_decoy_76.pdb,-0.01,593.9,0.54,0.46,-14.75,-23.48,4.18,6.19,0.0,0.0,0.0,5.17,0.0,5.0,0,203,107,0,0,2,0,0,0,0,-51423.15,3,30,1720,451,437,0,393,101,97,0,443,113,105,1,0,0,0,0,300,68,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,4,3,2.24,98.57,1a6v_NPC_H,0
actives_minimizations/mini_1a6w_NIP_H_active.pdb,-0.1,567.6,0.66,0.34,-30.88,-27.41,5.59,5.66,-8.98,0.0,-3.88,6.31,4.0,5.0,0,151,121,0,0,7,0,0,0,0,-539813.6,6,35,1634,429,421,0,362,94,94,1,793,204,193,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,31,31,0,0.3,4,1,0.95,95.3,1a6w_NIP_H,1
decoys_minimizations/mini_1a6w_NIP_H_decoy_10.pdb,-0.1,477.9,0.59,0.41,-17.2,-20.06,6.01,0.67,-0.96,0.0,0.0,2.82,0.0,6.0,0,164,40,0,0,0,0,0,0,0,16072.36,1,14,1017,261,254,1,243,58,65,0,489,128,126,0,178,49,47,0,276,74,69,0,0,0,0,0,123,34,31,0,0,0,0,0,0,0,0,0,0.67,5,1,1.79,73.91,1a6w_NIP_H,0
decoys_minimizations/mini_1a6w_NIP_H_decoy_39.pdb,-0.02,492.0,0.57,0.43,-12.53,-15.5,3.37,2.53,-0.0,0.0,0.0,2.06,0.0,3.0,0,109,46,0,0,4,0,0,0,0,-58375.24,0,8,933,242,232,0,273,68,67,0,465,118,121,0,123,31,27,0,295,78,75,0,0,0,0,0,108,30,29,0,0,0,0,0,0,0,0,0,0.86,6,3,0.13,89.87,1a6w_NIP_H,0
decoys_minimizations/mini_1a6w_NIP_H_decoy_45.pdb,-0.14,510.2,0.76,0.24,-17.82,-22.8,7.4,6.57,-4.23,0.0,-2.27,4.59,2.0,4.0,0,177,50,0,0,0,0,0,0,0,-5676.17,2,9,1159,305,281,1,296,79,71,0,395,96,90,1,168,46,40,0,354,93,87,0,0,0,0,0,130,35,31,0,0,0,0,0,0,0,0,0,0.71,3,1,2.8,63.4,1a6w_NIP_H,0
actives_minimizations/mini_1a9u_SB2_A_active.pdb,-0.11,757.4,0.64,0.36,-34.12,-33.03,8.35,4.57,-4.95,-2.27,-1.89,1.18,2.0,0.0,17,246,100,0,43,7,0,0,0,0,-74923.4,2,44,3264,837,902,28,455,126,134,6,87,28,32,0,225,46,48,1,0,0,0,0,89,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,3,1,4.68,58.64,1a9u_SB2_A,1
decoys_minimizations/mini_1a9u_SB2_A_decoy_49.pdb,-0.06,602.0,0.73,0.27,-14.37,-26.21,14.37,6.93,-1.3,0.0,0.0,7.53,0.0,2.0,17,176,40,0,53,0,0,0,0,0,63531.85,0,20,1630,408,474,20,731,176,193,7,310,79,99,5,139,39,41,2,181,45,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,7,0,2.18,75.85,1a9u_SB2_A,0
decoys_minimizations/mini_1a9u_SB2_A_decoy_51.pdb,-0.14,713.8,0.58,0.42,-17.74,-21.9,4.56,1.42,-0.05,0.0,0.0,21.73,0.0,5.0,0,184,97,0,10,9,0,0,0,0,6802.49,1,19,1843,522,554,15,451,125,134,6,506,137,154,6,190,52,49,1,259,77,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,7,2,2.37,83.39,1a9u_SB2_A,0
decoys_minimizations/mini_1a9u_SB2_A_decoy_94.pdb,-0.04,555.6,0.56,0.44,-13.13,-13.76,2.19,2.62,-1.6,0.0,-1.7,34.9,1.0,3.0,0,134,24,0,3,11,0,0,0,0,-35787.3,1,8,1855,515,588,23,484,121,135,6,611,176,199,8,82,29,31,1,108,35,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,8,0,3.0,81.95,1a9u_SB2_A,0
actives_minimizations/mini_1afe_ALZ_H_active.pdb,-0.16,823.5,0.56,0.44,-31.51,-32.42,5.34,13.53,-9.27,-5.59,-0.36,4.72,5.0,3.0,0,2,301,0,0,88,0,0,0,3,-316668.68,5,24,2469,649,753,50,656,172,215,17,420,115,129,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,4,3,0.43,98.31,1afe_ALZ_H,1
decoys_minimizations/mini_1afe_ALZ_H_decoy_27.pdb,-0.07,588.5,0.57,0.43,-15.98,-17.73,4.32,7.62,-5.74,-1.15,-3.66,31.26,4.0,1.0,0,0,186,0,0,15,0,0,0,0,-440.62,4,14,1738,457,506,26,434,120,143,12,637,165,210,18,140,39,44,5,149,37,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,5,3,3.08,93.11,1afe_ALZ_H,0
